"Canton","Mois","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
 ,"Mesures","Taux de chômage","Taux de chômage des jeunes","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Demandeurs d'emploi non chômeurs - PET","Demandeurs d'emploi non chômeurs - autres","Demandeurs d'emploi non chômeurs - Reconversion/perfectionnement","Demandeurs d'emploi non chômeurs - gain intermédiaire","Taux de chômage","Taux de chômage des jeunes","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Demandeurs d'emploi non chômeurs - PET","Demandeurs d'emploi non chômeurs - autres","Demandeurs d'emploi non chômeurs - Reconversion/perfectionnement","Demandeurs d'emploi non chômeurs - gain intermédiaire"
"Zurich",,"3.3","3.7","27'225","3'420","4'753","34'156","6'931","295","2'563","89","3'984","3.3","3.7","27'225","3'420","4'753","34'156","6'931","295","2'563","89","3'984"
"Berne",,"2.4","2.8","13'658","2'003","2'336","18'385","4'727","323","2'153","109","2'142","2.4","2.8","13'658","2'003","2'336","18'385","4'727","323","2'153","109","2'142"
"Lucerne",,"1.7","2.1","3'885","664","453","6'756","2'871","403","1'076","258","1'134","1.7","2.1","3'885","664","453","6'756","2'871","403","1'076","258","1'134"
"Uri",,"0.6","0.5","112","15","13","257","145","19","56","3","67","0.6","0.5","112","15","13","257","145","19","56","3","67"
"Schwyz",,"1.7","1.6","1'455","185","189","2'229","774","135","374","1","264","1.7","1.6","1'455","185","189","2'229","774","135","374","1","264"
"Obwald",,"0.7","0.7","153","21","10","319","166","51","76","13","26","0.7","0.7","153","21","10","319","166","51","76","13","26"
"Nidwald",,"1","0.9","248","31","24","436","188","53","74","33","28","1","0.9","248","31","24","436","188","53","74","33","28"
"Glaris",,"1.8","1.8","416","60","78","713","297","40","92","11","154","1.8","1.8","416","60","78","713","297","40","92","11","154"
"Zoug",,"2.3","1.8","1'543","133","248","2'615","1'072","278","397","6","391","2.3","1.8","1'543","133","248","2'615","1'072","278","397","6","391"
"Fribourg",,"2.7","3.2","4'466","683","486","7'837","3'371","639","743","191","1'798","2.7","3.2","4'466","683","486","7'837","3'371","639","743","191","1'798"
"Soleure",,"2.6","2.9","3'801","584","568","6'628","2'827","390","649","151","1'637","2.6","2.9","3'801","584","568","6'628","2'827","390","649","151","1'637"
"Bâle-Ville",,"3.5","4.4","3'455","408","606","5'168","1'713","124","426","27","1'136","3.5","4.4","3'455","408","606","5'168","1'713","124","426","27","1'136"
"Bâle-Campagne",,"2.8","3.2","4'082","524","651","5'540","1'458","71","276","23","1'088","2.8","3.2","4'082","524","651","5'540","1'458","71","276","23","1'088"
"Schaffhouse",,"3","3.8","1'286","226","268","2'328","1'042","88","432","34","488","3","3.8","1'286","226","268","2'328","1'042","88","432","34","488"
"Appenzell Rhodes-Extérieures",,"1.7","1.5","523","65","95","866","343","32","140","16","155","1.7","1.5","523","65","95","866","343","32","140","16","155"
"Appenzell Rhodes-Intérieures",,"0.7","1","62","16","9","102","40","1","3","0","36","0.7","1","62","16","9","102","40","1","3","0","36"
"St-Gall",,"2.2","2.4","6'127","1'046","866","10'363","4'236","492","1'767","120","1'857","2.2","2.4","6'127","1'046","866","10'363","4'236","492","1'767","120","1'857"
"Grisons",,"1.1","1.4","1'166","194","64","2'590","1'424","256","346","46","776","1.1","1.4","1'166","194","64","2'590","1'424","256","346","46","776"
"Argovie",,"2.9","3.3","10'684","1'555","1'698","15'145","4'461","389","1'368","26","2'678","2.9","3.3","10'684","1'555","1'698","15'145","4'461","389","1'368","26","2'678"
"Thurgovie",,"2","2.3","3'058","517","416","5'618","2'560","298","830","67","1'365","2","2.3","3'058","517","416","5'618","2'560","298","830","67","1'365"
"Tessin",,"3.1","5.2","5'202","803","797","8'675","3'473","679","850","48","1'896","3.1","5.2","5'202","803","797","8'675","3'473","679","850","48","1'896"
"Vaud",,"4.3","4.3","17'155","1'904","3'015","24'649","7'494","1'388","1'131","16","4'959","4.3","4.3","17'155","1'904","3'015","24'649","7'494","1'388","1'131","16","4'959"
"Valais",,"2.8","3.3","4'816","746","588","8'027","3'211","497","723","37","1'954","2.8","3.3","4'816","746","588","8'027","3'211","497","723","37","1'954"
"Neuchâtel",,"5.1","6.1","4'738","726","1'210","6'350","1'612","278","272","32","1'030","5.1","6.1","4'738","726","1'210","6'350","1'612","278","272","32","1'030"
"Genève",,"5.2","4.6","12'234","914","2'326","15'497","3'263","601","448","191","2'023","5.2","4.6","12'234","914","2'326","15'497","3'263","601","448","191","2'023"
"Jura",,"4.4","5.1","1'619","266","446","2'375","756","9","388","8","351","4.4","5.1","1'619","266","446","2'375","756","9","388","8","351"
"Total",,"3","3.2","133'169","17'709","22'213","193'624","60'455","7'829","17'653","1'556","33'417","3","3.2","133'169","17'709","22'213","193'624","60'455","7'829","17'653","1'556","33'417"
